,Coordinates,Description,ProjectGroup,ProjectName,WWRPfunding,Website
0,47.13918637-123.05408818,"Forterra proposes to acquire a conservation easement on a property on the southern shore of Little Skookum Inlet in Mason County, consisting of 816 acres of working forests, wetlands, riparian habitat, and nearly two miles of Puget Sound shoreline. The goal is to permanently protect the property from conversion to non-forest uses by placing a CE to extinguish the development rights and expand the existing no-cut buffers (currently 50’-90’, which follows state Forest Practices) to 150' on the salmon-bearing streams and 100' on the marine shoreline, permanently protecting the property’s working forest, environmental, and ecosystem benefits. Preventing development on the property eliminates the possibility of conversion to a non-forest uses, as well as anthropogenic damages to water quality (e.g., fecal coliform contamination, water temperature), salmon habitat, shoreline processes, and cultural resources associated with residential development.The property has been actively-managed as a working forest for over 150 years by Port Blakely Tree Farms, generating multiple rotations of timber and supplying local mills. However, the property has been zoned for rural residential development, and plans drawn up for its development. Conversion to a non-forest use would not only impact generations of local forest products, habitat, and cultural resources, but it would also be detrimental to the productive - and commercially lucrative - shellfish growing areas in the inlet. ",WWRP - Forestland Preservation:,Little Skookum Inlet Forest,"$350,000",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
1,45.81183445-122.36250787,"The Columbia Land Trust will use this grant to conserve approximately 360 acres of working forestland via a perpetual forestland conservation easement.  It contains about 174 acres of Tier 1 Forest Resource Land and about 168.75 acres of Tier 2 Forest Resource Land. According to the 2016 Comprehensive Growth Management Plan for Clark County, these designations apply to those lands which have the physical characteristics that are capable of management for the long-term production of commercially significant forest products. This project will prevent fragmentation and future development of the project site, ensuring that it continues to be managed as a working forest.  The project site is located on the East Fork Lewis River and Rock Creek in northeastern Clark County and will be used as active forestland in perpetuity.",WWRP - Forestland Preservation:,Rock Creek Forest,"$350,000",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
2,48.35010170-120.09793250,"The Town of Twisp in Okanogan County will use this grant to renovate a baseball field and a soccer field in the Twisp Sports Complex, a 10-acre area at the south end of town. The project will re-orient the sports fields to accommodate simultaneous play, and install new natural turf, bleachers, backstop, dugouts, irrigation and drainage. The primary recreational opportunity provided by this project is youth athletics.",WWRP - Local Parks:,Twisp Sports Complex Renovation  - Ph 1,"$200,000",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
3,47.81133944-122.38565635,"The City of Edmonds will use this grant to remove an aged creosote parking pier that extends over the beach, located on the Edmonds waterfront. Further development will include expansion of public access by providing a hand launch boat access, re-routing of the existing walkway to re-establish the intertidal and beach zones, and improving upon the existing outdated storm water infrastructure using LID practices. The primary recreation opportunity provided by the project will be increased water access for public recreation.",Aquatic Lands Enhancement Acct:,Edmonds Waterfront Development ,"$500,000",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
4,47.60215090-118.38695031,"The Washington Department of Fish and Wildlife will use this grant to restore approximately 150 acres of a 250 acre field on Phantom Butte located in the Swanson Lakes Wildlife Area in Lincoln County. The site was previously used to support wheat production and will be restored to native grassland habitat to support Columbian sharp-tailed grouse and greater sage grouse. Both Species are listed under the federal Endangered Species Act.  This site will ultimately support passive recreation (bird watching, hiking) and active recreation (hunting).",WWRP - State Lands Restoration:,Phantom Butte Grassland Restoration,"$65,000",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
5,47.80972546-122.22006435,"Snohomish County Public Works will use this grant to develop the North Creek Regional Trail (NCRT), between SR 524 and the intersection of Winesap Rd. and Sprague Dr., in Snohomish County. This trail development is the first of three construction projects planned to close the final significant gap in the NCRT in unincorporated Snohomish County. The proposed trail will be a two-way multi-use facility paralleling SR 527. This first phase of development consists of a 12 foot wide asphalt trail bordered by 2-foot shoulders with a total length of 1.15 miles. The primary recreation opportunity provided by this project will be a non-motorized regional trail system.",WWRP - Trails:,North Creek Regional Trail,"$1,000,000",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
6,48.17301041-122.68199544,"The Department of Natural Resources, partnering with the Whidbey Camano Land Trust,will restore rare costal prairie and endangered plant habitat on Admiralty Inlet Natural Area Preserve (NAP). The project will restore 2.2 acres of native prairie and Golden Paintbrush habitat on two portions of the NAP (Prairies 1 and 2). This will be done by removing invasive and non-native species, and planting native prairie species, including Golden Paintbrush. Seeding with native dominant prairie species will also be done. The primary habitat restored through this project is coastal prairie.",WWRP - State Lands Restoration:,Admiralty Inlet NAP Rare Native Prairies Expansion,"$55,000",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
7,47.00059837-123.00235215,"The Department of Natural Resources will use this grant to perform bridge and trail development at McLane Creek Nature trails, located in Capitol State Forest. Development will include the replacement of two wooden bridges, the repair and replacement of boardwalks along with limited trail reconstruction. The primary recreation activity provided by the project will be improved nature trail access and wildlife viewing opportunities.",WWRP - State Lands Development:,McLane Creek Nature Trails Renovation,"$219,000",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
8,47.74101141-122.65536934,"The city of Poulsbo will use this grant to purchase approximately 3 acres of undeveloped, low bank waterfront property on Liberty Bay in the City of Poulsbo.  The property will eventually be used to provide access to a waterfront path that will run along about 680 feet of shoreline.  Primary outdoor recreation uses that are intended for the site include water access, swimming, fishing, shellfishing, personal watercraft (kayak, paddleboards, etc.), play area, walking and bird watching.",WWRP - Water Access:,West Poulsbo Waterfront Park ,"$400,000",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
9,48.66151840-122.75008357,"The Washington State Parks and Recreation Commission will use this grant to buy the 134-acre Lawrence Point property to provide improved water access at Moran State Park. The property is within Moran’s long-term boundary, surrounded by two existing State Parks’ parcels, and would provide an excellent location for hiking trails. In addition, with 1600 feet of saltwater shoreline, the property will present visitors with incredible views of other islands and mainland. The primary recreational opportunity provided by the project is hiking and nature viiewing.",WWRP - State Parks:,Moran - Lawrence Point Acquisition,"$2,874,520",https://secure.rco.wa.gov/PRISM/search/ProjectSnapshot.aspx?ProjectNumber=16-1715
